Discipline,Female,Male,Total,Female_Percentage,Male_Percentage
3X3 Basketball,32,32,64,50.0,50.0
Archery,64,64,128,50.0,50.0
Artistic Gymnastics,98,98,196,50.0,50.0
Artistic Swimming,105,0,105,100.0,0.0
Athletics,969,1072,2041,47.47672709456149,52.52327290543851
Badminton,86,87,173,49.71098265895954,50.28901734104046
Baseball/Softball,90,144,234,38.46153846153847,61.53846153846154
Basketball,144,144,288,50.0,50.0
Beach Volleyball,48,48,96,50.0,50.0
Boxing,102,187,289,35.294117647058826,64.70588235294117
Canoe Slalom,41,41,82,50.0,50.0
Canoe Sprint,123,126,249,49.39759036144578,50.602409638554214
Cycling Bmx Freestyle,10,9,19,52.63157894736842,47.368421052631575
Cycling Bmx Racing,24,24,48,50.0,50.0
Cycling Mountain Bike,38,38,76,50.0,50.0
Cycling Road,70,131,201,34.82587064676617,65.17412935323384
Cycling Track,90,99,189,47.61904761904761,52.38095238095239
Diving,72,71,143,50.349650349650354,49.65034965034965
Equestrian,73,125,198,36.868686868686865,63.13131313131313
Fencing,107,108,215,49.76744186046512,50.23255813953489
Football,264,344,608,43.42105263157895,56.57894736842105
Golf,60,60,120,50.0,50.0
Handball,168,168,336,50.0,50.0
Hockey,192,192,384,50.0,50.0
Judo,192,201,393,48.854961832061065,51.14503816793893
Karate,40,42,82,48.78048780487805,51.21951219512195
Marathon Swimming,25,25,50,50.0,50.0
Modern Pentathlon,36,36,72,50.0,50.0
Rhythmic Gymnastics,96,0,96,100.0,0.0
Rowing,257,265,522,49.23371647509578,50.76628352490421
Rugby Sevens,146,151,297,49.158249158249156,50.841750841750844
Sailing,175,175,350,50.0,50.0
Shooting,178,178,356,50.0,50.0
Skateboarding,40,40,80,50.0,50.0
Sport Climbing,20,20,40,50.0,50.0
Surfing,20,20,40,50.0,50.0
Swimming,361,418,779,46.34146341463415,53.65853658536586
Table Tennis,86,86,172,50.0,50.0
Taekwondo,65,65,130,50.0,50.0
Tennis,94,97,191,49.21465968586388,50.78534031413613
Trampoline Gymnastics,16,16,32,50.0,50.0
Triathlon,55,55,110,50.0,50.0
Volleyball,144,144,288,50.0,50.0
Water Polo,122,146,268,45.52238805970149,54.47761194029851
Weightlifting,98,99,197,49.746192893401016,50.25380710659898
Wrestling,96,193,289,33.21799307958477,66.78200692041523
