Rank,Team/NOC,Gold,Silver,Bronze,Total,Rank by Total,Team/Noc,Bronze_Percentage,Silver_Percentage,Gold_Percentage,Calculated_Total
1,United States of America,39,41,33,113,1,United States Of America,29.20353982300885,36.283185840707965,34.51327433628318,113
2,People's Republic of China,38,32,18,88,2,People'S Republic Of China,20.454545454545457,36.36363636363637,43.18181818181818,88
3,Japan,27,14,17,58,5,Japan,29.310344827586203,24.137931034482758,46.55172413793103,58
4,Great Britain,22,21,22,65,4,Great Britain,33.84615384615385,32.30769230769231,33.84615384615385,65
5,ROC,20,28,23,71,3,Roc,32.3943661971831,39.436619718309856,28.169014084507044,71
6,Australia,17,7,22,46,6,Australia,47.82608695652174,15.217391304347828,36.95652173913043,46
7,Netherlands,10,12,14,36,9,Netherlands,38.88888888888889,33.33333333333333,27.77777777777778,36
8,France,10,12,11,33,10,France,33.33333333333333,36.36363636363637,30.303030303030305,33
9,Germany,10,11,16,37,8,Germany,43.24324324324324,29.72972972972973,27.027027027027028,37
10,Italy,10,10,20,40,7,Italy,50.0,25.0,25.0,40
11,Canada,7,6,11,24,11,Canada,45.83333333333333,25.0,29.166666666666668,24
12,Brazil,7,6,8,21,12,Brazil,38.095238095238095,28.57142857142857,33.33333333333333,21
13,New Zealand,7,6,7,20,13,New Zealand,35.0,30.0,35.0,20
14,Cuba,7,3,5,15,18,Cuba,33.33333333333333,20.0,46.666666666666664,15
15,Hungary,6,7,7,20,13,Hungary,35.0,35.0,30.0,20
16,Republic of Korea,6,4,10,20,13,Republic Of Korea,50.0,20.0,30.0,20
17,Poland,4,5,5,14,19,Poland,35.714285714285715,35.714285714285715,28.57142857142857,14
18,Czech Republic,4,4,3,11,23,Czech Republic,27.27272727272727,36.36363636363637,36.36363636363637,11
19,Kenya,4,4,2,10,25,Kenya,20.0,40.0,40.0,10
20,Norway,4,2,2,8,29,Norway,25.0,25.0,50.0,8
21,Jamaica,4,1,4,9,26,Jamaica,44.44444444444444,11.11111111111111,44.44444444444444,9
22,Spain,3,8,6,17,17,Spain,35.294117647058826,47.05882352941176,17.647058823529413,17
23,Sweden,3,6,0,9,26,Sweden,0.0,66.66666666666666,33.33333333333333,9
24,Switzerland,3,4,6,13,20,Switzerland,46.15384615384615,30.76923076923077,23.076923076923077,13
25,Denmark,3,4,4,11,23,Denmark,36.36363636363637,36.36363636363637,27.27272727272727,11
26,Croatia,3,3,2,8,29,Croatia,25.0,37.5,37.5,8
27,Islamic Republic of Iran,3,2,2,7,33,Islamic Republic Of Iran,28.57142857142857,28.57142857142857,42.857142857142854,7
28,Serbia,3,1,5,9,26,Serbia,55.55555555555556,11.11111111111111,33.33333333333333,9
29,Belgium,3,1,3,7,33,Belgium,42.857142857142854,14.285714285714285,42.857142857142854,7
30,Bulgaria,3,1,2,6,39,Bulgaria,33.33333333333333,16.666666666666664,50.0,6
31,Slovenia,3,1,1,5,42,Slovenia,20.0,20.0,60.0,5
32,Uzbekistan,3,0,2,5,42,Uzbekistan,40.0,0.0,60.0,5
33,Georgia,2,5,1,8,29,Georgia,12.5,62.5,25.0,8
34,Chinese Taipei,2,4,6,12,22,Chinese Taipei,50.0,33.33333333333333,16.666666666666664,12
35,Turkey,2,2,9,13,20,Turkey,69.23076923076923,15.384615384615385,15.384615384615385,13
36,Greece,2,1,1,4,47,Greece,25.0,25.0,50.0,4
36,Uganda,2,1,1,4,47,Uganda,25.0,25.0,50.0,4
38,Ecuador,2,1,0,3,60,Ecuador,0.0,33.33333333333333,66.66666666666666,3
39,Ireland,2,0,2,4,47,Ireland,50.0,0.0,50.0,4
39,Israel,2,0,2,4,47,Israel,50.0,0.0,50.0,4
41,Qatar,2,0,1,3,60,Qatar,33.33333333333333,0.0,66.66666666666666,3
