Name,Discipline,NOC,Event,Team_ID
Belgium,3X3 Basketball,Belgium,Men,1
China,3X3 Basketball,People'S Republic Of China,Men,2
China,3X3 Basketball,People'S Republic Of China,Women,3
France,3X3 Basketball,France,Women,4
Italy,3X3 Basketball,Italy,Women,5
Japan,3X3 Basketball,Japan,Men,6
Japan,3X3 Basketball,Japan,Women,7
Latvia,3X3 Basketball,Latvia,Men,8
Mongolia,3X3 Basketball,Mongolia,Women,9
Netherlands,3X3 Basketball,Netherlands,Men,10
Poland,3X3 Basketball,Poland,Men,11
Roc,3X3 Basketball,Roc,Men,12
Roc,3X3 Basketball,Roc,Women,13
Romania,3X3 Basketball,Romania,Women,14
Serbia,3X3 Basketball,Serbia,Men,15
United States,3X3 Basketball,United States Of America,Women,16
Australia,Archery,Australia,Men'S Team,17
Australia,Archery,Australia,Mixed Team,18
Bangladesh,Archery,Bangladesh,Mixed Team,19
Belarus,Archery,Belarus,Women'S Team,20
Brazil,Archery,Brazil,Mixed Team,21
Canada,Archery,Canada,Mixed Team,22
China,Archery,People'S Republic Of China,Men'S Team,23
China,Archery,People'S Republic Of China,Mixed Team,24
China,Archery,People'S Republic Of China,Women'S Team,25
Chinese Taipei,Archery,Chinese Taipei,Men'S Team,26
Chinese Taipei,Archery,Chinese Taipei,Mixed Team,27
Chinese Taipei,Archery,Chinese Taipei,Women'S Team,28
Colombia,Archery,Colombia,Mixed Team,29
Egypt,Archery,Egypt,Mixed Team,30
France,Archery,France,Men'S Team,31
France,Archery,France,Mixed Team,32
Germany,Archery,Germany,Mixed Team,33
Germany,Archery,Germany,Women'S Team,34
Great Britain,Archery,Great Britain,Men'S Team,35
Great Britain,Archery,Great Britain,Mixed Team,36
Great Britain,Archery,Great Britain,Women'S Team,37
India,Archery,India,Men'S Team,38
India,Archery,India,Mixed Team,39
Indonesia,Archery,Indonesia,Men'S Team,40
Indonesia,Archery,Indonesia,Mixed Team,41
Italy,Archery,Italy,Mixed Team,42
Italy,Archery,Italy,Women'S Team,43
Japan,Archery,Japan,Men'S Team,44
Japan,Archery,Japan,Mixed Team,45
Japan,Archery,Japan,Women'S Team,46
Kazakhstan,Archery,Kazakhstan,Men'S Team,47
Malaysia,Archery,Malaysia,Mixed Team,48
Mexico,Archery,Mexico,Mixed Team,49
Mexico,Archery,Mexico,Women'S Team,50
Mongolia,Archery,Mongolia,Mixed Team,51
Netherlands,Archery,Netherlands,Men'S Team,52
Netherlands,Archery,Netherlands,Mixed Team,53
Poland,Archery,Poland,Mixed Team,54
Rep. Of Moldova,Archery,Republic Of Moldova,Mixed Team,55
Republic Of Korea,Archery,Republic Of Korea,Men'S Team,56
Republic Of Korea,Archery,Republic Of Korea,Mixed Team,57
